x,y,z,target,amplitude,timestamp
40.5203905098,74.1909294413,75.5773434417,1,6.96724063027e-05,1560997950.4
48.6065275279,77.8161612268,66.9162818015,1,7.87124919593e-05,1560997952.87
48.3001372516,76.4922196656,69.0034115515,1,7.04151399616e-05,1560997955.33
39.526730478,73.873416039,76.0463854047,1,6.794651984e-05,1560997957.8
41.6065935003,72.7887510959,76.4707380676,1,7.39183132445e-05,1560997960.27
47.6080631699,77.615981691,68.4818138801,1,7.2446227454e-05,1560997962.73
49.0251198818,75.8525208055,69.1358268666,1,7.53435794692e-05,1560997965.2
50.1080729728,74.6941659997,70.6026469484,1,7.54176930654e-05,1560997967.67
49.891555089,75.5094014893,68.8345678202,1,7.41938217784e-05,1560997970.31
50.9220053847,76.8253677403,66.384807219,1,7.57412633799e-05,1560997972.78
50.628204395,76.0276024495,68.7377829515,1,6.44106525672e-05,1560997975.25
42.0466950422,74.7262050416,74.0215097616,1,6.93725658089e-05,1560997977.72
49.566563135,76.352099939,69.5127645124,1,7.14168659671e-05,1560997980.19
49.1425675855,77.7646232528,67.9614153144,1,6.89702341809e-05,1560997982.65
48.7030979723,76.4745089619,68.5441956836,1,6.95301840943e-05,1560997985.12
45.7587699433,76.0451052123,71.0792529482,1,6.90049284519e-05,1560997987.58
41.8083218816,73.6991884697,75.9873709151,1,6.99997848551e-05,1560997990.05
46.9564864314,78.1544096529,67.9938001004,1,7.27508841098e-05,1560997992.52
50.9750061537,76.0974514413,68.94705899,1,7.54112724548e-05,1560997994.98
50.5807683627,75.3193470713,68.8026673316,1,7.47969214714e-05,1560997997.45
40.3360177595,74.6623943948,75.6507778502,1,6.9307542256e-05,1560997999.92
48.1028019877,77.0108005101,68.3917710914,1,7.02153816565e-05,1560998002.39
48.5934815202,77.1681246374,68.7329674325,1,7.3451847637e-05,1560998004.86
48.7677876182,75.894612478,69.1379070809,1,7.25329295938e-05,1560998007.32
51.0886568955,75.5545758783,68.1706074559,1,7.34624943705e-05,1560998009.79
49.2601729337,75.7796344846,70.6678115563,1,6.77364475985e-05,1560998012.25
50.0239356197,74.6663402987,70.9558182194,1,7.63687601713e-05,1560998014.72
40.2512387632,74.783379824,74.9192680501,1,7.1474657516e-05,1560998017.19
48.9457046733,75.2937831438,71.1792346205,1,7.23417074892e-05,1560998019.65
48.3640505609,77.4019177314,68.5401909509,1,7.13479055563e-05,1560998022.12
50.7491860352,75.6303358516,69.6214243099,1,7.11338182915e-05,1560998024.59
48.5772127363,77.7027753603,67.6219267387,1,7.24033578921e-05,1560998027.05
47.7294934684,77.7049091787,67.9568424871,1,6.98850477118e-05,1560998029.52
48.8986765794,76.2847453735,69.3038925564,1,6.96776967386e-05,1560998031.99
48.0025008919,75.9473726113,70.8584244179,1,6.96439777954e-05,1560998034.45
48.7743792492,74.9131358595,71.2919758972,1,7.20936232581e-05,1560998036.92
51.0517853695,74.9205290846,70.0219733256,1,6.96351171085e-05,1560998039.41
50.1263060195,77.2633899446,67.8038973011,1,7.44260006613e-05,1560998041.88
49.9588245151,75.4859572502,70.7803061194,1,7.38164267552e-05,1560998044.35
47.579571446,77.5530645186,68.2179214606,1,7.25493866601e-05,1560998046.81
48.0481002684,74.7130961653,71.4365539274,1,6.45748649023e-05,1560998049.28
50.7519269366,75.2511011821,68.8031535515,1,7.35977045875e-05,1560998051.75
47.7346269162,77.0799493664,68.6082140229,1,7.30939294797e-05,1560998054.22
50.4749097734,75.4650476201,69.7011952975,1,7.11017629375e-05,1560998056.69
48.2821446171,76.3752381754,68.9759195836,1,6.89912905968e-05,1560998059.15
50.428936592,75.4554818391,69.2305132776,1,7.38230015412e-05,1560998061.65
49.347266578,75.6441635286,69.0476102636,1,7.04164063525e-05,1560998064.11
49.8046466492,76.4715297776,68.3821026934,1,7.38348693972e-05,1560998066.59
51.2234508855,75.4166553207,68.9491918663,1,7.20480183839e-05,1560998069.06
51.323743881,75.1376728809,69.5707091995,1,7.50368523607e-05,1560998071.52
49.9245421584,75.8566414782,68.268845841,1,7.04401790377e-05,1560998073.99
49.973881943,75.5682720991,69.5156071632,1,7.2340547248e-05,1560998076.45
49.2509029542,75.1806516999,71.0585370107,1,7.42246499417e-05,1560998078.92
48.4167572432,77.2887941271,67.7832993891,1,7.28050838101e-05,1560998081.38
48.1999614755,76.4532316668,69.038010749,1,6.73194306178e-05,1560998083.86
48.0612823198,76.6914943146,68.7916450801,1,7.16298195444e-05,1560998086.32
50.0424040092,75.239573815,68.6858122148,1,7.19898151702e-05,1560998088.79
50.2153241637,75.2495815052,69.2794924269,1,7.57859849907e-05,1560998091.25
50.362169543,75.7001947229,68.7483993608,1,7.12203550226e-05,1560998093.72
48.3470291604,77.2185012205,68.471563221,1,7.56267308054e-05,1560998096.2
51.2558432518,74.4793637292,69.335444811,1,7.5495997611e-05,1560998098.67
51.8478007298,75.9346628419,68.2945072573,1,7.25526629085e-05,1560998101.14
48.4396456621,76.5194122655,68.9755802539,1,7.05923605381e-05,1560998103.6
39.6519671826,71.7262910868,79.4224663833,1,6.84267857423e-05,1560998106.07
51.1754979841,75.3679291631,68.8144801514,1,6.66311067914e-05,1560998108.54
50.7489674065,74.9095303996,69.3575192746,1,7.52372813715e-05,1560998111.01
40.8438739297,71.4593850153,78.6765106429,1,7.38587024978e-05,1560998113.47
50.1955395598,76.4690836928,68.5689041286,1,7.16144359569e-05,1560998115.94
49.8246328064,75.686693979,69.0723947442,1,6.91098406779e-05,1560998118.41
49.9259030288,74.4897504708,71.750634551,1,7.14072831772e-05,1560998120.88
48.341126179,77.0828947054,68.4267121967,1,7.71238671589e-05,1560998123.35
48.7143583914,75.8051888903,70.7415015555,1,6.82443370376e-05,1560998125.82
49.6890278203,76.2670032055,68.1064387116,1,7.39364201464e-05,1560998128.29
49.8555190614,76.3819993717,69.2389447961,1,7.87719053002e-05,1560998130.76
49.7833829644,76.9899821444,68.1463693577,1,7.41182182893e-05,1560998133.23
51.4168439672,75.0625084905,69.9920653206,1,7.71272055337e-05,1560998135.7
49.7101823195,75.5110281156,70.976626374,1,6.94261106523e-05,1560998138.16
50.4917944384,75.7408740959,68.9938356526,1,7.33062784168e-05,1560998140.63
49.2575485139,75.6924941749,69.0526853854,1,7.5035771844e-05,1560998143.1
50.4777305179,74.9036420385,68.6113015777,1,7.76202272224e-05,1560998145.58
50.0474585768,77.2787216421,66.7208225996,1,7.27317464689e-05,1560998148.05
49.1442372855,77.042335408,68.0724619986,1,7.45012812777e-05,1560998150.52
50.4850987243,75.4902517498,68.5750117928,1,7.13281773412e-05,1560998153.0
48.8264212604,76.3797542337,69.1615576318,1,6.27017059466e-05,1560998155.47
51.3755416586,75.2531226937,68.6789841142,1,7.39890263533e-05,1560998157.94
48.1607851789,75.795280822,70.9867380934,1,7.45617489192e-05,1560998160.4
48.3056016319,76.1877480784,69.2769437849,1,7.30402399724e-05,1560998162.88
51.5473079123,75.3581277306,68.2670523835,1,7.61573256335e-05,1560998165.34
48.8570519782,76.4564175108,68.3458727885,1,7.22035153639e-05,1560998167.81
52.8798632259,75.2365229504,67.9879632042,1,7.44084457801e-05,1560998170.29
51.0531827971,76.0997696729,68.2069385512,1,6.97698315071e-05,1560998172.76
48.7368062001,75.6356775274,70.8441724788,1,6.76507454195e-05,1560998175.22
52.5128843351,74.8763345239,69.0958650485,1,7.66950159139e-05,1560998177.69
